month,total_views
201507,7665421980
201508,7634815221
201509,7655695037
201510,7746031887
201511,7524321290
201512,7476287344
201601,8154016303
201602,7585859457
201603,7673274617
201604,7408147859
201605,7586811330
201606,7243630656
201607,7834439589
201608,8210865519
201609,7528292279
201610,7871021581
201611,7983113161
201612,7986152433
201701,8753941940
201702,7738463562
201703,8223465891
201704,7591080111
201705,7874558299
201706,7123934190
201707,7290503797
201708,7196978615
201709,7079052261
201710,7580772181
201711,7486072984
201712,7470527400
201801,8371116060
201802,7360334422
201803,8015146182
201804,7690353530
201805,7764840918
201806,7256416175
201807,7723165341
201808,7586492950
201809,7410952475
201810,7714396331
201811,7481996602
201812,7668741075
201901,8213615007
201902,7263031930
201903,7846676922
201904,7591898410
201905,7778725447
201906,7272603509
201907,7697923994
201908,7511637741
201909,7499320841
201910,8094995348
201911,7723707106
201912,7651321286
202001,8272629865
202002,7595321571
202003,8098768829
202004,9304114554
202005,8309793710
202006,7295303813
202007,7448650597
202008,7416366900
202009,7154034280
202010,7778298858
202011,7967683334
202012,7672099918
202101,8201654938
202102,7298754690
202103,8075703368
202104,7641809575
202105,7800995735
202106,7090481783
202107,7544493789
202108,7495607934
202109,7060156893
202110,7166612629
202111,6753928550
202112,6830759352
202201,7566964069
202202,6958096301
202203,7375436545
202204,6999072343
202205,7066842129
202206,6732995979
202207,7002382082
202208,7220648638
202209,7406114051
202210,7490275580
202211,7474238422
202212,7300790051
202301,7906077158
202302,6966908969
202303,7783695172
202304,7243057251
202305,7753424313
202306,7483095454
202307,7877965197
202308,7799815475
202309,7418228879
202310,7898588194
202311,7588543578
202312,7781530443
202401,8684755474
202402,7621496970
202403,8082436565
202404,7674735478
202405,7630589329
202406,7196213283
202407,7626362036
202408,7565367414
202409,7167746176
202410,7442946001
202411,7358270481
202412,7475149173
202501,8075023328
202502,7086641734
202503,7740123015
202504,6971174625
202505,7133413827
202506,6637486973
202507,6968421594
202508,7112406774
202509,6916125844
202510,7153203240
202511,6924863090
202512,7046774504
202601,7444148343
202602,6519384711
